Model,Technology,Materials,Brand,Build Size
LeapFrog Creatr,FDM (Fused Deposition Modeling),"PLA, ABS, Nylon",LeapFrog,200 x 270 x 200 mm 
LeapFrog Creatr HS,FDM (Fused Deposition Modeling),"PLA, ABS, Nylon",LeapFrog,270 x 260 x 180 mm 
LeapFrog Creatr XL,FDM (Fused Deposition Modeling),"PLA, ABS, Nylon",LeapFrog,270 x 270 x 600 mm 
Leapfrog Xeed,FDM (Fused Deposition Modeling),"PLA, ABS, HIPS",LeapFrog,220 x 280 x 230 mm 
MakerBot Replicator 2,FDM (Fused Deposition Modeling),"PLA, FLEX (Elastic TPE), Brick PLA",Makerbot,285 x 153 x 155 mm 
MakerBot Replicator 2X,FDM (Fused Deposition Modeling),"PLA, ABS, Brass PLA and +1 materials",Makerbot,246 x 152 x 155 mm 
Ultimaker Original,FDM (Fused Deposition Modeling),"PLA, ABS, Rubber-like (TPU)",Ultimaker,210 x 210 x 205 mm 
Ultimaker 2,FDM (Fused Deposition Modeling),"PLA, ABS, HIPS and +4 materials",Ultimaker,223 x 223 x 205 mm 
Ultimaker 2 Extended,FDM (Fused Deposition Modeling),PLA,Ultimaker,223 x 223 x 305 mm 
Ultimaker 2 Go,FDM (Fused Deposition Modeling),PLA,Ultimaker,120 x 120 x 115 mm 
MakerBot Replicator,FDM (Fused Deposition Modeling),"PLA, ABS",Makerbot,252 x 199 x 150 mm 
MakerBot Replicator Mini,FDM (Fused Deposition Modeling),"PLA, PC-ABS, Polycarbonate (PC) and +4 materials",Makerbot,100 x 100 x 125 mm 
MakerBot Replicator Z18,FDM (Fused Deposition Modeling),PLA,Makerbot,305 x 305 x 457 mm 
Type A Machines 1,FDM (Fused Deposition Modeling),"PLA, ABS, Nylon",Type A Machines,305 x 305 x 305 mm 
DITTO-Pro,FDM (Fused Deposition Modeling),PLA,Tinkerine,370 x 390 x 436 mm 
DITTO PLUS,FDM (Fused Deposition Modeling),PLA,Tinkerine,210 x 185 x 230 mm 
LITTO,FDM (Fused Deposition Modeling),PLA,Tinkerine,135 x 120 x 175 mm 
gMax 1.5 XT,FDM (Fused Deposition Modeling),"PLA, ABS, Nylon and +1 materials",gCreate,406.4 x 406.4 x 228.6 mm 
re:3D Gigabot,FDM (Fused Deposition Modeling),"PLA, ABS, Nylon and +2 materials",re:3D,590 x 600 x 600 mm 
Rapide Lite 200,FDM (Fused Deposition Modeling),PLA,Rapide 3d,190 x 190 x 190 mm 
Stratasys uPrint SE,FDM (Fused Deposition Modeling),ABS,Stratasys,203 x 152 x 152 mm 
Stratasys uPrint SE Plus,FDM (Fused Deposition Modeling),ABS,Stratasys,203 x 203 x 152 mm 
Craftbot PLUS,FDM (Fused Deposition Modeling),"PLA, ABS, Nylon and +1 materials",CraftUnique,250 x 200 x 200 mm 
FlashForge Creator II,FDM (Fused Deposition Modeling),"PLA, ABS, Nylon and +2 materials",FlashForge,225 x 145 x 150 mm 
FlashForge Dreamer,FDM (Fused Deposition Modeling),"PLA, ABS, Nylon",FlashForge,230 x 150 x 140 mm 
FlashForge Creator Pro,FDM (Fused Deposition Modeling),"PLA, ABS, Nylon and +23 materials",FlashForge,227 x 148 x 150 mm 
FlashForge Creator,FDM (Fused Deposition Modeling),"PLA, ABS, Nylon and +1 materials",FlashForge,225 x 145 x 150 mm 
RigidBot Regular,FDM (Fused Deposition Modeling),"PLA, ABS, Nylon",RigidBot,254 x 254 x 254 mm 
RigidBot Big,FDM (Fused Deposition Modeling),"PLA, ABS, Nylon and +1 materials",RigidBot,300 x 400 x 254 mm 
Solidoodle 2 Base,FDM (Fused Deposition Modeling),"PLA, ABS",Solidoodle,152 x 152 x 152 mm 
Solidoodle 2 Pro,FDM (Fused Deposition Modeling),"PLA, ABS",Solidoodle,152 x 152 x 152 mm 
Solidoodle 3,FDM (Fused Deposition Modeling),"PLA, ABS",Solidoodle,203 x 203 x 203 mm 
Solidoodle 4,FDM (Fused Deposition Modeling),"PLA, ABS",Solidoodle,203 x 203 x 203 mm 
Rapide Lite 500,FDM (Fused Deposition Modeling),"PLA, ABS, HIPS",Rapide 3d,500 x 500 x 500 mm 
Printrbot+,FDM (Fused Deposition Modeling),"PLA, ABS, Nylon and +2 materials",Printrbot,250 x 250 x 265 mm 
Printrbot Simple Metal,FDM (Fused Deposition Modeling),"PLA, ABS, Nylon",Printrbot,150 x 150 x 150 mm 
Craftbot,FDM (Fused Deposition Modeling),"PLA, ABS, Nylon and +2 materials",CraftUnique,250 x 200 x 200 mm 
CTC-3D Bizer,FDM (Fused Deposition Modeling),"PVA, PLA, ABS and +4 materials",CTC LTD,225 x 145 x 150 mm 
ATOM 2.0,FDM (Fused Deposition Modeling),"PLA, ABS",ATOM,155 x 155 x 320 mm 
Creatbot DX,FDM (Fused Deposition Modeling),"PLA, ABS, Nylon and +6 materials",Creatbot,300 x 250 x 300 mm 
Fusematic,FDM (Fused Deposition Modeling),"PLA, Nylon, Polycarbonate (PC)",Maker's Tool Works,200 x 225 x 200 mm 
LulzBot TAZ 5,FDM (Fused Deposition Modeling),"PLA, ABS, Nylon and +10 materials",LulzBot,290 x 275 x 250 mm 
MOD-t,FDM (Fused Deposition Modeling),PLA,New Matter,150 x 100 x 125 mm 
PrintRite DIY,FDM (Fused Deposition Modeling),"PLA, ABS",Print-Rite,200 x 200 x 170 mm 
Zmorph 2.0S,FDM (Fused Deposition Modeling),"PLA, ABS, HIPS and +1 materials",Zmorph,250 x 235 x 165 mm 
Makergear M2,FDM (Fused Deposition Modeling),"PLA, ABS, Nylon and +6 materials",MakerGear,190 x 240 x 190 mm  
Rostock Max V2,FDM (Fused Deposition Modeling),"PLA, ABS, Nylon and +2 materials",SeeMeCNC,197 x 197 x 375 mm 
da Vinci 1.0 PRO,FDM (Fused Deposition Modeling),"PLA, ABS, Nylon and +7 materials",XYZPrinting,200 x 200 x 200 mm 
da Vinci 2.0 Duo,FDM (Fused Deposition Modeling),"PLA, ABS",XYZPrinting,150 x 200 x 200 mm 
da Vinci 1.0 AiO,FDM (Fused Deposition Modeling),"PLA, ABS",XYZPrinting,200 x 200 x 190 mm 
Wanhao i3 Duplicator,FDM (Fused Deposition Modeling),"PLA, ABS, Nylon and +12 materials",Wanhao,200 x 200 x 180 mm 
FELIX 3.1,FDM (Fused Deposition Modeling),"PLA, ABS, Nylon and +2 materials",FELIXprinters,255 x 205 x 225 mm 
TripodMaker Classic,FDM (Fused Deposition Modeling),"PLA, ABS, Nylon",TripodMaker,210 x 210 x 390 mm 
ProJet CJP 660Pro,CJP (ColorJet Printing),Full-color sandstone (VisiJet PXL),3D Systems,254 x 381 x 203 mm 
ProJet 3500 HDMax,MJP (MultiJet Printing),VisiJet M3,3D Systems,298 x 185 x 203 mm 
Pegasus Touch,SLA (Stereolithography),"Resin, Castable Resin, Flexible Resin",FSL3D,177 x 177 x 228 mm 
Kudo3D Titan 1,SLA (Stereolithography),"Resin, Castable Resin, Tough Resin",Kudo3D,177 x 101 x 254 mm 
Fortus 400mc,FDM (Fused Deposition Modeling),"ABS, Nylon, ABSi and +9 materials",Stratasys,355 x 254 x 254 mm 
Objet Eden 260V,PolyJet and PolyJetMatrix,"Vero, Durable (PP-like) Resin, Tango (Rubber-like material) and +1 materials",Stratasys,255 x 252 x 200 mm 
Mcor IRIS HD,LOM (Laminated Object Manufacturing),Paper,Mcor,256 x 169 x 150 mm 
LulzBot Mini,FDM (Fused Deposition Modeling),"PLA, ABS, Nylon and +4 materials",LulzBot,152 x 152 x 158 mm 
